Labels,Title,State,Date,Last Update,Closed,URL
,Run hub for ISchool's W261,open,2019-04-20,2019-05-21,,https://github.com/berkeley-dsep-infra/datahub/issues/637
,Run a hub that integrates with bcourses,closed,2019-04-20,2019-07-04,2019-07-04,https://github.com/berkeley-dsep-infra/datahub/issues/636
,Keeping up with z2jh upgrades,open,2019-04-16,2019-04-18,,https://github.com/berkeley-dsep-infra/datahub/issues/635
,Reduce number of 302s from JupyterHub,open,2019-04-09,2019-04-09,,https://github.com/berkeley-dsep-infra/datahub/issues/628
,RStudio server not starting,closed,2019-04-02,2019-04-03,2019-04-03,https://github.com/berkeley-dsep-infra/datahub/issues/616
,500: Internal Server Error logging into datahub,closed,2019-03-31,2019-04-06,2019-04-06,https://github.com/berkeley-dsep-infra/datahub/issues/613
,400 : Bad Request OAuth state missing from cookies,closed,2019-03-30,2019-03-30,2019-03-30,https://github.com/berkeley-dsep-infra/datahub/issues/611
,Current Theano incompatible with current NumPy,open,2019-03-28,2019-04-11,,https://github.com/berkeley-dsep-infra/datahub/issues/608
,Document datahub usage analysis notebooks,open,2019-03-26,2019-03-28,,https://github.com/berkeley-dsep-infra/datahub/issues/605
,Collect and store operational metrics for our deployments,open,2019-03-15,2019-03-15,,https://github.com/berkeley-dsep-infra/datahub/issues/597
,Evaluate secret management options for this repository,open,2019-03-11,2019-06-14,,https://github.com/berkeley-dsep-infra/datahub/issues/596
,Give Jon Felder DNS access,closed,2019-02-26,2019-02-26,2019-02-26,https://github.com/berkeley-dsep-infra/datahub/issues/577
,Secure Data,open,2019-02-22,2019-02-25,,https://github.com/berkeley-dsep-infra/datahub/issues/573
,Provide extra RAM for module developers,open,2019-02-06,2019-02-06,,https://github.com/berkeley-dsep-infra/datahub/issues/557
,Notebook cannot connect to julia kernel,closed,2019-02-02,2019-03-11,2019-03-11,https://github.com/berkeley-dsep-infra/datahub/issues/551
process,Handle student information securely during support requests,open,2019-02-02,2019-02-02,,https://github.com/berkeley-dsep-infra/datahub/issues/550
support,DNS entries for external hub,closed,2019-02-01,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/539
process,Set up process for keeping up to date list of classes using various hubs,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/537
documentation,Document deploying a change,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/536
documentation,Document adding DNS entries,closed,2019-02-01,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/535
documentation,Document setting up new hub,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/534
process,Coordinating merges from staging->prod for support issues,open,2019-01-31,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/528
support,Add zoey & alan as admins to datahub,closed,2019-01-31,2019-06-20,2019-06-20,https://github.com/berkeley-dsep-infra/datahub/issues/527
support,Gain JupyterHub admin access for data 8X hub,closed,2019-01-30,2019-02-21,2019-02-21,https://github.com/berkeley-dsep-infra/datahub/issues/518
automation,Test that built notebook runs in CI,open,2019-01-29,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/510
support,Extra memory for Astr 128 and 256,closed,2019-01-29,2019-04-08,2019-04-08,https://github.com/berkeley-dsep-infra/datahub/issues/508
support,Extra Memory for LS 88,closed,2019-01-28,2019-06-26,2019-06-26,https://github.com/berkeley-dsep-infra/datahub/issues/505
,data100 user timeouts ,closed,2019-01-23,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/480
,Try set up a different image / hub for R,closed,2019-01-23,2019-06-26,2019-06-26,https://github.com/berkeley-dsep-infra/datahub/issues/479
automation,Automate using class rosters for resource differentiation,open,2019-01-23,2019-05-01,,https://github.com/berkeley-dsep-infra/datahub/issues/476
,Set up gofer-grader for data8x,closed,2019-01-23,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/475
,Setup data8x hub on this repo,closed,2019-01-22,2019-02-02,2019-02-02,https://github.com/berkeley-dsep-infra/datahub/issues/459
,Line magic function errors,closed,2019-01-17,2019-01-17,2019-01-17,https://github.com/berkeley-dsep-infra/datahub/issues/446
