id,title,overview,genres,release_date,adult,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,overview_len,month,day,day_of_week
543583,Cinderella and the Secret Prince,during the royal ball  cinderella and her mice fellows discover a secret that could shake their world  the real prince has turned into a mouse by the evil witch  and the  prince  from the royal ball is in fact a fraud  now  cinderella and her friends are going to begin a whole new adventure to save the real prince  and help him defeat the evil force ,"['Animation', 'Adventure', 'Family', 'Fantasy']",2018-10-01,False,2,4.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,352.0,10,1,Mon
522758,Hooligan Escape The Russian Job,five british men have been arrested following some trouble with rival russians  after being gassed and kidnapped  the group awake and realise they have been taken from their cells and are now trapped in a derelict warehouse with no way of escape  someone is out for revenge and will stop at nothing to get it ,['Crime'],2018-05-18,False,4,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.0,5,18,Fri
522773,A Dangerous Son,documentary following three families each coping with a child affected by serious emotional or mental illness  the families explore treatment opportunities and grapple with the struggle of living with their child s condition ,['Documentary'],2018-05-07,False,2,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0,5,7,Mon
522817,A Mediocre Documentary with Tom And Dan, a mediocre time  with tom and dan  was becoming a hit podcast   until big radio made them shut it down  now  after quitting their terrestrial radio jobs and making the podcast a career  they will embark on their biggest event yet  showcasing their podcast at the hard rock live ,"['Documentary', 'Comedy']",2018-05-03,False,1,10.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.0,5,3,Thu
565759,Dark Sister,troubled artist cassie suffers with reoccurring visions of murder  which she copes with by committing the violent acts to canvas  but when her visions begin to manifest in real life  her friends and family begin to turn up dead  realizing her visions actually provide a direct link to the killer  cassie must now confront her own past in order to stop the murders and save herself ,"['Horror', 'Thriller', 'Mystery']",2018-12-01,False,2,5.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,381.0,12,1,Sat
565762,Last American Horror Show,a trifecta of 80s throwback terror with mauling monsters  home invasions gone haywire and stomach turning human sacrifice ,"['Horror', 'Comedy']",2018-06-30,False,3,4.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,122.0,6,30,Sat
555914,Mooch,anthony  the mooch  scaramucci may have been the shortest tenured white house communications director  but he sure left a big impression  compiled over a four year span   mooch  tells the only in trump s america story of an irrepressible hedge fund manager who rose from humble beginnings to stratospheric heights   only to watch the world laugh as he tumbled back down ,['Documentary'],2018-10-23,False,1,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,370.0,10,23,Tue
555949,Planes with Brains,when gumdrop and vroomer  the latest members of the plane scout crew  are sent on a mission by commander gumdrop  they take off on the greatest adventure of their lives  as they fly high in the clouds  they meet a genius robot that helps them learn all there is to know about amazing planes ,"['Family', 'Animation']",2018-09-09,False,1,10.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,291.0,9,9,Sun
555953,Also Starring Austin,also starring austin uses scenes from locally shot films as a lens to explore a community s rapidly changing built and natural environment and unique  enduring culture ,,2018-05-05,False,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,5,5,Sat
544986,The Satanic Nun,based on true events  aesha goes to an isolated b b in kent after her mom books her in so she can get some head space for her studies  in the night aesha is visited by a nun at the door who will progressively begin to show her true colours as the night unfolds   as the nun continues to bother aesha at the door  aesha begins to question her surroundings in this isolated suspense horror ,['Horror'],2018-08-14,False,4,5.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,388.0,8,14,Tue
564174,UFC Fight Night 141: Blaydes vs. Ngannou 2,a heavyweight rematch between former ufc heavyweight championship challenger francis ngannou and curtis blaydes served as the event headliner  2  the pairing met previously in april 2016 at ufc fight night  rothwell vs  dos santos  with ngannou winning the fight via tko stoppage at the conclusion of the second round ,,2018-11-24,False,1,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.0,11,24,Sat
564295,John & Yoko: Above Us Only Sky,film telling the untold story of john lennon s 1971 album imagine  exploring the creative collaboration between lennon and yoko ono and featuring interviews and never seen before footage ,['Documentary'],2018-11-24,False,1,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187.0,11,24,Sat
564296,When Calls the Heart: The Greatest Christmas Blessing,as christmas approaches in hope valley  newly widowed elizabeth prepares for the birth of her baby and abigail prepares for the town s christmas gathering  hope valley must rely on the courage of some of its strongest women  and the christmas spirit  to guide them to a safe and happy holiday ,,2018-12-25,False,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.0,12,25,Tue
585510,Holiday Spectacular,in holiday spectacular  rhyme and cassie  who are from two different complicated stories  meet up   cassie is doing community service in the mall  meanwhile  ryme ends up getting a job as one of santas elfs  as her friends are all on vacation ,['Family'],2018-12-21,False,1,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243.0,12,21,Fri
