class,timestamp,org,repo,size_KB,size,pull_count,errors
COGSCI 1,2019-09-18 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,21,0.0
COGSCI 1,2019-09-18 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,51,0.0
COGSCI 1,2019-09-19 00:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-19 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-19 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-19 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,33,0.0
COGSCI 1,2019-09-19 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,37,0.0
COGSCI 1,2019-09-19 05:00:00,ds-modules,COGSCI-1,31983.0,145.0,14,0.0
COGSCI 1,2019-09-19 07:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,263.75
COGSCI 1,2019-09-19 08:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,0.0
COGSCI 1,2019-09-19 15:00:00,ds-modules,COGSCI-1,26153.0,145.0,14,0.0
COGSCI 1,2019-09-19 16:00:00,ds-modules,COGSCI-1,31983.0,145.0,26,0.0
COGSCI 1,2019-09-19 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,11,0.0
COGSCI 1,2019-09-19 18:00:00,ds-modules,COGSCI-1,31983.0,145.0,11,0.0
COGSCI 1,2019-09-19 19:00:00,ds-modules,COGSCI-1,185.0,145.0,20,230.0
COGSCI 1,2019-09-19 20:00:00,ds-modules,COGSCI-1,31983.0,145.0,16,0.0
COGSCI 1,2019-09-19 21:00:00,ds-modules,COGSCI-1,31983.0,145.0,22,0.0
COGSCI 1,2019-09-19 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,0.0
COGSCI 1,2019-09-19 23:00:00,ds-modules,COGSCI-1,185.0,145.0,38,0.0
COGSCI 1,2019-09-20 00:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,0.0
COGSCI 1,2019-09-20 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-20 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,27,0.0
COGSCI 1,2019-09-20 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,0.0
COGSCI 1,2019-09-20 04:00:00,ds-modules,COGSCI-1,31983.0,145.0,23,0.0
COGSCI 1,2019-09-20 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,30,0.0
COGSCI 1,2019-09-20 06:00:00,ds-modules,COGSCI-1,617.0,145.0,3,0.0
COGSCI 1,2019-09-20 07:00:00,ds-modules,COGSCI-1,31983.0,145.0,6,201.25
COGSCI 1,2019-09-20 08:00:00,ds-modules,COGSCI-1,617.0,145.0,4,0.0
COGSCI 1,2019-09-20 09:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-20 10:00:00,ds-modules,COGSCI-1,31983.0,145.0,1,0.0
COGSCI 1,2019-09-20 11:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-20 12:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-20 14:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-20 15:00:00,ds-modules,COGSCI-1,31983.0,145.0,10,0.0
COGSCI 1,2019-09-20 16:00:00,ds-modules,COGSCI-1,617.0,145.0,28,0.0
COGSCI 1,2019-09-20 17:00:00,ds-modules,COGSCI-1,617.0,145.0,8,0.0
COGSCI 1,2019-09-20 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,22,0.0
COGSCI 1,2019-09-20 19:00:00,ds-modules,COGSCI-1,31983.0,145.0,13,453.75
COGSCI 1,2019-09-20 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,16,0.0
COGSCI 1,2019-09-20 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-20 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,32,0.0
COGSCI 1,2019-09-20 23:00:00,ds-modules,COGSCI-1,31983.0,145.0,13,0.0
COGSCI 1,2019-09-21 00:00:00,ds-modules,COGSCI-1,31983.0,145.0,15,0.0
COGSCI 1,2019-09-21 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,0.0
COGSCI 1,2019-09-21 02:00:00,ds-modules,COGSCI-1,617.0,145.0,15,0.0
COGSCI 1,2019-09-21 03:00:00,ds-modules,COGSCI-1,31983.0,145.0,8,0.0
COGSCI 1,2019-09-21 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,32,0.0
COGSCI 1,2019-09-21 05:00:00,ds-modules,COGSCI-1,31983.0,145.0,12,0.0
COGSCI 1,2019-09-21 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-21 07:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,206.25
COGSCI 1,2019-09-21 15:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-21 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-21 18:00:00,ds-modules,COGSCI-1,31983.0,145.0,4,0.0
COGSCI 1,2019-09-21 19:00:00,ds-modules,COGSCI-1,31983.0,145.0,10,410.0
COGSCI 1,2019-09-21 20:00:00,ds-modules,COGSCI-1,185.0,145.0,6,0.0
COGSCI 1,2019-09-21 21:00:00,ds-modules,COGSCI-1,617.0,145.0,8,0.0
COGSCI 1,2019-09-21 22:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-21 23:00:00,ds-modules,COGSCI-1,617.0,145.0,7,0.0
COGSCI 1,2019-09-22 00:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-22 01:00:00,ds-modules,COGSCI-1,31983.0,145.0,4,0.0
COGSCI 1,2019-09-22 03:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-22 04:00:00,ds-modules,COGSCI-1,31983.0,145.0,11,0.0
COGSCI 1,2019-09-22 05:00:00,ds-modules,COGSCI-1,31983.0,145.0,6,0.0
COGSCI 1,2019-09-22 06:00:00,ds-modules,COGSCI-1,617.0,145.0,5,0.0
COGSCI 1,2019-09-22 08:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-22 14:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
COGSCI 1,2019-09-22 15:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-22 16:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-22 18:00:00,ds-modules,COGSCI-1,617.0,145.0,9,0.0
COGSCI 1,2019-09-22 19:00:00,ds-modules,COGSCI-1,617.0,145.0,9,240.0
COGSCI 1,2019-09-22 20:00:00,ds-modules,COGSCI-1,617.0,145.0,5,0.0
COGSCI 1,2019-09-22 21:00:00,ds-modules,COGSCI-1,617.0,145.0,14,0.0
COGSCI 1,2019-09-22 22:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
COGSCI 1,2019-09-22 23:00:00,ds-modules,COGSCI-1,617.0,145.0,4,0.0
COGSCI 1,2019-09-23 00:00:00,ds-modules,COGSCI-1,617.0,145.0,8,0.0
COGSCI 1,2019-09-23 01:00:00,ds-modules,COGSCI-1,31983.0,145.0,3,0.0
COGSCI 1,2019-09-23 02:00:00,ds-modules,COGSCI-1,617.0,145.0,10,0.0
COGSCI 1,2019-09-23 03:00:00,ds-modules,COGSCI-1,617.0,145.0,3,0.0
COGSCI 1,2019-09-23 04:00:00,ds-modules,COGSCI-1,617.0,145.0,10,0.0
COGSCI 1,2019-09-23 05:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-23 06:00:00,ds-modules,COGSCI-1,617.0,145.0,5,0.0
COGSCI 1,2019-09-23 07:00:00,ds-modules,COGSCI-1,617.0,145.0,3,331.25
COGSCI 1,2019-09-23 08:00:00,ds-modules,COGSCI-1,617.0,145.0,3,0.0
COGSCI 1,2019-09-23 10:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-23 11:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
COGSCI 1,2019-09-23 12:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-23 15:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
COGSCI 1,2019-09-23 16:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-23 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,21,0.0
COGSCI 1,2019-09-23 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,53,0.0
COGSCI 1,2019-09-23 19:00:00,ds-modules,COGSCI-1,31983.0,145.0,18,285.0
COGSCI 1,2019-09-23 20:00:00,ds-modules,COGSCI-1,617.0,145.0,58,0.0
COGSCI 1,2019-09-23 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,9,0.0
